"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2020-09-16","250","265","248","260","4.00","112334"
"UPPER","2020-09-15","258","258","249","250","-1.19","46491"
"UPPER","2020-09-14","254","259","252","253","-0.39","72169"
"UPPER","2020-09-13","262","262","249","254","1.60","90480"
"UPPER","2020-09-10","252","256","248","250","-0.79","37663"
"UPPER","2020-09-09","247","254","245","252","2.02","63351"
"UPPER","2020-09-08","240","250","240","247","1.23","27931"
"UPPER","2020-09-07","250","250","242","244","-2.40","65957"
"UPPER","2020-09-06","262","262","248","250","0.00","120973"
"UPPER","2020-09-03","266","276","248","250","-1.57","213983"
"UPPER","2020-09-02","231","254","231","254","9.96","192864"
"UPPER","2020-08-31","234","237","224","231","3.59","72125"
"UPPER","2020-08-30","224","226","221","223","-0.45","26062"
"UPPER","2020-08-27","228","228","223","224","-1.32","32653"
"UPPER","2020-08-26","228","230","223","227","0.44","27578"
"UPPER","2020-08-25","210","226","210","226","2.26","17578"
"UPPER","2020-08-24","220","224","220","221","0.45","23471"
"UPPER","2020-08-23","219","221","218","220","0.46","11917"
"UPPER","2020-08-20","222","222","218","219","-0.45","7395"
"UPPER","2020-08-19","219","220","218","220","0.46","21614"
"UPPER","2020-08-18","220","222","219","219","0.00","43755"
"UPPER","2020-08-17","220","222","219","219","-0.90","42564"
"UPPER","2020-08-16","222","223","220","221","-1.34","44124"
"UPPER","2020-08-13","225","226","223","224","-1.75","20134"
"UPPER","2020-08-12","230","230","224","228","0.00","18935"
"UPPER","2020-08-11","228","228","225","228","0.44","17874"
"UPPER","2020-08-10","221","228","221","227","1.34","23540"
"UPPER","2020-08-09","222","225","221","224","0.00","10147"
"UPPER","2020-08-06","224","227","222","224","-0.44","19325"
"UPPER","2020-08-05","225","227","224","226","-0.44","23663"
"UPPER","2020-08-03","226","229","226","227","-0.44","19267"
"UPPER","2020-08-02","229","230","226","228","-0.44","18622"
"UPPER","2020-07-30","227","232","227","229","0.44","20632"
"UPPER","2020-07-29","229","231","228","228","-0.44","23865"
"UPPER","2020-07-28","230","234","229","229","-1.29","20308"
"UPPER","2020-07-27","234","234","230","230","0.00","25735"
"UPPER","2020-07-26","240","240","228","230","-0.86","39278"
"UPPER","2020-07-23","231","235","231","232","-0.85","18502"
"UPPER","2020-07-22","235","237","231","234","-1.27","12152"
"UPPER","2020-07-21","240","241","234","237","-2.47","24619"
"UPPER","2020-07-20","245","253","235","243","0.83","41801"
"UPPER","2020-07-19","238","241","237","241","2.99","650"
"UPPER","2020-07-16","230","237","230","234","0.43","15361"
"UPPER","2020-07-15","230","234","230","233","0.87","24827"
"UPPER","2020-07-14","232","233","231","231","-0.86","20910"
"UPPER","2020-07-13","230","233","228","233","1.30","18610"
"UPPER","2020-07-12","227","233","227","230","0.00","19898"
"UPPER","2020-07-09","232","233","228","230","-0.86","13515"
"UPPER","2020-07-08","237","237","229","232","-2.11","16000"
"UPPER","2020-07-07","230","240","230","237","3.95","24798"
"UPPER","2020-07-06","227","231","223","228","-1.30","15470"
"UPPER","2020-07-05","229","238","224","231","0.87","25667"
"UPPER","2020-07-02","252","254","225","229","-4.58","13075"
"UPPER","2020-07-01","232","250","232","240","5.26","4921"
"UPPER","2020-06-30","212","233","212","228","5.56","10005"
"UPPER","2020-06-29","211","216","194","216","0.00","18841"
"UPPER","2020-05-13","217","217","215","215","-2.71","30"
"UPPER","2020-05-12","223","223","221","221","-2.64","120"
"UPPER","2020-03-22","230","230","225","227","-1.30","2893"
"UPPER","2020-03-19","225","230","221","230","0.88","71140"
